Categoria: Todas as categorias

Semana,Karl Marx: (Todo o mundo),John Maynard Keynes: (Todo o mundo)
2018-04-29,100,7
2018-05-06,79,8
2018-05-13,51,7
2018-05-20,46,7
2018-05-27,41,6
2018-06-03,42,6
2018-06-10,39,6
2018-06-17,36,5
2018-06-24,33,5
2018-07-01,30,4
2018-07-08,28,4
2018-07-15,27,4
2018-07-22,28,4
2018-07-29,29,4
2018-08-05,30,4
2018-08-12,33,4
2018-08-19,35,5
2018-08-26,40,5
2018-09-02,40,5
2018-09-09,42,5
2018-09-16,44,6
2018-09-23,46,6
2018-09-30,45,6
2018-10-07,43,7
2018-10-14,45,6
2018-10-21,45,6
2018-10-28,44,6
2018-11-04,47,7
2018-11-11,42,7
2018-11-18,42,6
2018-11-25,43,7
2018-12-02,43,6
2018-12-09,40,7
2018-12-16,35,5
2018-12-23,29,3
2018-12-30,28,4
2019-01-06,32,6
2019-01-13,35,5
2019-01-20,34,6
2019-01-27,35,6
2019-02-03,41,6
2019-02-10,42,6
2019-02-17,48,6
2019-02-24,40,7
2019-03-03,41,6
2019-03-10,42,6
2019-03-17,42,7
2019-03-24,44,7
2019-03-31,44,7
2019-04-07,42,7
2019-04-14,37,6
